School Year,District Code,District Name,County,School Code,School Name,TYPE,INDEX,TOTAL,Native,Asian,Black,PI,White,2+,Hispanic,NativePerc,AsianPerc,BlackPerc,PIPerc,WhitePerc,2+Perc,HispanicPerc
2016,31201,Snohomish School District,Snohomish,3981,High School Re Entry,High,14.7,25,0,0,0,0,23,2,0,0.0%,0.0%,0.0%,0.0%,92.0%,8.0%,0.0%
2016,17001,Seattle Public Schools,King,4263,Residential Consortium,Other,69.7,27,2,0,4,0,13,4,4,7.4%,0.0%,14.8%,0.0%,48.1%,14.8%,14.8%
2016,17404,Skykomish School District,King,2512,Skykomish Elementary School,Elementary,26.1,27,0,0,0,0,23,1,3,0.0%,0.0%,0.0%,0.0%,85.2%,3.7%,11.1%
2016,17216,Enumclaw School District,King,1523,Special Ed School (Enumclaw),Other,32.4,27,0,1,0,0,22,2,2,0.0%,3.7%,0.0%,0.0%,81.5%,7.4%,7.4%
2016,31002,Everett School District,Snohomish,5330,Everett Reengagement Academy,Other,57.1,28,0,3,1,0,17,1,6,0.0%,10.7%,3.6%,0.0%,60.7%,3.6%,21.4%
2016,17407,Riverview School District,King,1756,CLIP,Other,46.8,31,1,1,0,0,22,4,3,3.2%,3.2%,0.0%,0.0%,71.0%,12.9%,9.7%
2016,17412,Shoreline School District,King,5287,Early Childhood Education,Other,50.2,32,0,2,3,0,22,3,2,0.0%,6.3%,9.4%,0.0%,68.8%,9.4%,6.3%
2016,31015,Edmonds School District,Snohomish,3818,Maplewood Center,Other,74.2,34,0,6,6,0,12,1,9,0.0%,17.6%,17.6%,0.0%,35.3%,2.9%,26.5%
2016,31025,Marysville School District,Snohomish,5212,Marysville On-line Move Up Program,Other,49.4,38,0,0,2,0,26,5,5,0.0%,0.0%,5.3%,0.0%,68.4%,13.2%,13.2%
2016,17403,Renton School District,King,5070,Renton Academy,Other,70.2,38,1,2,16,0,12,3,4,2.6%,5.3%,42.1%,0.0%,31.6%,7.9%,10.5%
2016,31016,Arlington School District,Snohomish,2277,Arlington Special Educ School,Other,37.5,39,1,1,0,0,30,0,7,2.6%,2.6%,0.0%,0.0%,76.9%,0.0%,17.9%
2016,17210,Federal Way School District,King,5255,Gateway to College,Other,64.8,39,0,1,4,0,15,2,17,0.0%,2.6%,10.3%,0.0%,38.5%,5.1%,43.6%
2016,17411,Issaquah School District,King,1540,Tiger Mountain Community High School,High,35.1,39,0,0,1,0,31,3,4,0.0%,0.0%,2.6%,0.0%,79.5%,7.7%,10.3%
2016,17210,Federal Way School District,King,1950,Employment Transition Program,Other,70.3,40,0,4,5,0,19,5,7,0.0%,10.0%,12.5%,0.0%,47.5%,12.5%,17.5%
